comid,MMI_BENT,agkffact,bfi,cbnf,conif,crophay,fert,manure,pestic1997,urbmdhi,lon,lat,easting,northing,state
11964585,0.437,0,72.73873527,0,14.13345965,0,0,0,0,0.011842027,-111.0582395,40.34146319,-1037.575204,4625.392851,Utah
9342959,0.48,0.005275635,46.82018258,0.200976576,24.02519284,1.082725922,0.376831081,0.653173873,4.949653352,1.542707522,-72.10314054,42.73344917,2212.93929,4948.222834,New Hampshire
13604166,0.468,0.228995073,33.7942168,26.61294087,0,59.69917012,55.08259855,0,123.5748127,2.580394191,-89.74806968,40.63081123,775.0353579,4502.860409,Illinois
23703807,0.654,0,76.50364137,0,42.04310599,0,0,0,0,0,-121.7810033,44.39364318,-1790.516901,5336.023018,Oregon
23703803,0.724,0,78.20807666,0,86.61875428,0,0,0,0,0,-121.8015403,44.39989298,-1791.877472,5337.33868,Oregon
4593491,0.725,0,46.77570798,0,2.691934963,0.161516098,0,0,0.247429126,0.312264456,-71.81174597,44.44696426,2185.939217,5144.982257,Vermont
13078395,0.655,0.000804529,67,0.044696067,2.264600715,0,0.086412396,0.014898689,3.197286508,0,-91.57064607,45.73497357,611.2051319,5065.595364,Wisconsin
3906261,0.509,0,66.16105234,0,5.840559314,0,0,0,0.003866395,0.036319063,-111.2928695,39.71023472,-1072.659814,4559.053912,Utah
4577062,0.428,0,46.46062659,0,4.741744285,0.211685013,0,0,0.660313258,0,-72.94662155,44.41784783,2096.538534,5117.969334,Vermont
12259262,0.437,0.157682298,71.02332433,18.40854407,0,62.8038301,50.00736558,9.198134054,96.90289104,0.220967346,-85.65815585,41.71686315,1110.912859,4644.463125,Indiana
4818673,0.783,0,68,0,2.480417755,0,0,0,0.402342641,0,-94.50397197,47.04442303,385.755387,5211.19822,Minnesota
9830672,0.353,0,28.77784107,0,0,0.512674452,0,0,0.017661124,0,-104.9378201,45.49481547,-432.5982904,5107.713931,Montana
23293955,0.359,0,56.37956204,0,0,0,0,0,1.686921438,0.912408759,-115.9022885,42.34945366,-1389.862598,4950.366815,Idaho
16012574,0.338,0.201152263,27.84567901,27.02983539,0,64.71193416,58.45987654,0.628600823,120.4075426,0.308641975,-97.05877014,43.57441562,172.2607872,4832.614382,South Dakota
24136857,0.646,0,61,0,69.26915647,0,0,0,0,0.257566001,-121.2989132,47.31061604,-1628.555498,5641.797959,Washington
9026349,0.748,0,69.41011841,0,0.107642626,0,0,0,0.108673021,0,-88.76988259,45.47702058,830.6151845,5044.65294,Wisconsin
6777539,0.493,0.003273508,47,0.076472883,7.14007023,1.053452985,0.240343348,0.131096371,2.278171559,0.585251658,-72.61100886,42.74269266,2170.974406,4938.587883,Vermont
4558486,0.219,0.050943522,78.97622522,6.091893134,0.610169492,13.90519966,4.250158001,2.408422867,6.449527944,0.079287561,-111.8530532,42.23858131,-1057.83939,4851.903288,Idaho
8609463,0.481,0.066348751,48.18157709,2.34882363,8.955986472,21.03841756,6.129339919,3.572759787,8.555703351,0.155713973,-78.62347384,37.2144077,1779.105769,4216.893415,Virginia
23037158,0.423,0,63.7775088,0,4.346390845,0,0,0,0,10.73943662,-118.9935627,47.94021308,-1432.254802,5646.054564,Washington
1701146,0.778,0,50.72769517,0,10.22304833,0,0,0,0.021361121,0,-69.12547192,45.77824568,2353.16316,5354.274342,Maine
6739062,0.636,0.017813168,57.69545715,0.593912756,12.20760454,5.31354427,0.965108228,0.296956378,0.628665027,0.565975254,-71.24468599,43.36765666,2264.199828,5037.503074,New Hampshire
23160388,0.339,0.034719526,83.42774353,1.908992736,6.329861088,6.436510226,4.981400122,0.021239276,80.06173771,0.002347623,-111.9672844,42.89755475,-1050.229627,4927.494729,Idaho
22221219,0.789,0,48.53374233,0,4.038854806,0.511247444,0,0,0.783939819,0,-73.05246724,43.89113186,2102.910889,5057.32102,Vermont
11936727,0.317,0,59,0,38.23529412,0,0,0,0,0,-88.00176346,47.47517258,876.5706428,5270.090417,Michigan
11929032,0.735,0,59,0,9.290540541,0,0,0,0.071847136,0,-88.8470193,46.86099235,816.5328788,5198.09485,Michigan
4061192,0.345,0.020710347,67.189765,4.733793694,4.684974038,5.893688775,2.426069268,0.059172421,5.322528728,0.022482736,-110.692101,46.03899734,-867.8945019,5252.821844,Montana
8390734,0.464,0.077615459,64.72937305,8.36810581,17.02498888,38.9692967,23.11191129,33.47242324,118.4541955,1.605424015,-75.54738472,38.64342303,2023.775176,4424.687596,Delaware
10061027,0.452,0.001805583,44.6945907,0.10262269,0.640770912,0.153983708,0.249453606,0.013262468,0.143899991,36.19362209,-77.47499099,37.59771544,1874.660505,4276.415737,Virginia
10108227,0.48,0.011570248,24,1.128099174,0,2.892561983,1.82231405,0,59.10641183,2.892561983,-87.2975079,38.06477522,1000.422075,4228.384562,Indiana
23171013,0.167,0.062451142,78.87884286,5.164036221,27.22713533,16.22736142,15.9875522,0.38552617,305.2727873,0.324600739,-113.3947819,42.66939602,-1173.509292,4930.542833,Idaho
1720331,0.602,0,49,0,15.64156654,0.047693295,0,0,0.037456511,0.139411171,-69.26510839,45.33332117,2357.811263,5301.704512,Maine
24284202,0.704,0,60.225,0,73.33333333,0,0,0,0,0,-122.4471879,46.83106057,-1735.304152,5624.046013,Washington
10285440,0.285,0.149926108,25,17.20197044,0.123152709,24.75369458,24.72783251,0.358374384,2.712300064,0.246305419,-87.34955343,39.06613844,988.9902157,4339.3392,Indiana
23912359,0.676,0,42.13304465,0,61.57981186,0.104524414,0,0,0,0.34343736,-124.1791887,43.63193722,-2015.500546,5328.566146,Oregon
23912387,0.786,0,41.90417036,0,42.67968057,0.443655723,0,0,0,3.992901508,-124.2221296,43.51942938,-2024.149794,5317.566847,Oregon
4586106,0.696,0.009822826,45.97894616,0.23838012,11.96502531,2.082374597,0.85135757,1.294063507,3.042935451,0.046019328,-72.26246104,44.62510076,2144.85946,5155.133365,Vermont
24566893,0.406,0.073124406,75.12464991,7.934558452,0.009447201,21.49080768,27.23483577,0.643342577,528.7388884,0.03267157,-112.6908798,43.07899653,-1104.534089,4961.84046,Idaho
3230751,0.335,0,67,0,68.36112893,0,0,0,1.210887862,0,-108.0511795,38.99724122,-806.388041,4425.84966,Colorado
12394688,0.4,0.009749062,67.55574827,1.830223174,19.11591019,1.911073288,1.420471717,0,0.403964866,0.001294327,-112.4481027,47.55763252,-960.1107069,5453.436532,Montana
23788965,0.568,0.158355872,48.39768683,1.762633452,6.583629893,54.96441281,61.69217082,1.175088968,99.40220812,12.22419929,-122.8895911,44.51534915,-1872.839809,5383.951321,Oregon
6248644,0.705,0,44.92638512,0,0,0.251840372,0,0,3.69866597,9.821774506,-74.24793408,40.97369686,2081.298661,4708.846017,New Jersey
12991497,0.261,0.000299057,62.00274497,0.039874309,0.115577708,0.018059017,0.056488605,0.019937155,0.050110094,0.057788854,-90.6604055,45.76452991,681.9258641,5070.547677,Wisconsin
13394027,0.473,0.000842593,69,0.025925926,3.132716049,0.462962963,0.298148148,0,3.636509405,0.061728395,-89.26934676,45.86691709,789.5588898,5086.0319,Wisconsin
23727525,0.714,0,77.02601156,0,76.30057803,0,0,0,0,0,-121.8007424,44.79954401,-1774.785144,5381.40888,Oregon
806169,0.336,0.000282258,52.35349462,0.00672043,15.52419355,0,0.190860215,0,9.79753685,0.201612903,-68.27593117,46.47467228,2393.285117,5452.248681,Maine
9367200,0.503,0.016455567,28,2.194075587,0,22.30166837,4.02247191,0.060946544,18.5987666,0,-97.25490816,45.24671631,166.0928506,5019.170776,South Dakota
